configuration_id,T,population,perturbation,mutation_subset
1,40,20,0.25,0.25
2,40,20,0.75,0.5
3,40,40,0.25,0.1
4,40,40,0.75,0.1
5,40,60,0.25,0.5
6,40,60,0.75,0.25
7,60,20,0.5,0.1
8,60,20,0.5,0.25
9,60,40,0.5,0.5
10,60,60,0.5,0.1
11,60,60,0.5,0.25
12,60,60,0.75,0.5
13,80,20,0.25,0.25
14,80,20,0.75,0.1
15,80,40,0.25,0.1
16,80,40,0.5,0.25
17,80,40,0.5,0.5
18,80,40,0.75,0.25
19,100,20,0.25,0.5
20,100,40,0.5,0.5
21,100,40,0.75,0.25
22,100,60,0.25,0.1
23,100,60,0.25,0.5
24,100,60,0.75,0.1
25,120,20,0.25,0.1
26,120,20,0.5,0.1
27,120,20,0.75,0.5
28,120,40,0.25,0.25
29,120,60,0.5,0.25
30,120,60,0.75,0.5
