instance_id,order_count,benchmark_group,reference_batch_id,reference_seed,reference_score,reference_wall_time_seconds,reference_simulation_runtime_seconds,reference_algorithm_time_seconds,reference_algorithm_dispatch_count,repetition_1_batch_id,repetition_1_seed,repetition_1_score,repetition_1_wall_time_seconds,repetition_1_simulation_runtime_seconds,repetition_1_algorithm_time_seconds,repetition_1_algorithm_dispatch_count,repetition_2_batch_id,repetition_2_seed,repetition_2_score,repetition_2_wall_time_seconds,repetition_2_simulation_runtime_seconds,repetition_2_algorithm_time_seconds,repetition_2_algorithm_dispatch_count,repetition_3_batch_id,repetition_3_seed,repetition_3_score,repetition_3_wall_time_seconds,repetition_3_simulation_runtime_seconds,repetition_3_algorithm_time_seconds,repetition_3_algorithm_dispatch_count,repetition_4_batch_id,repetition_4_seed,repetition_4_score,repetition_4_wall_time_seconds,repetition_4_simulation_runtime_seconds,repetition_4_algorithm_time_seconds,repetition_4_algorithm_dispatch_count,current4_mean_score,current4_std_score,current4_min_score,current4_max_score,current4_mean_wall_time_seconds,current4_mean_simulation_runtime_seconds,current4_mean_algorithm_time_seconds,current4_mean_algorithm_dispatch_count,combined5_mean_score,combined5_std_score,combined5_min_score,combined5_max_score,combined5_mean_wall_time_seconds,combined5_mean_simulation_runtime_seconds,combined5_mean_algorithm_time_seconds,combined5_mean_algorithm_dispatch_count,current4_delta_vs_reference_score,current4_pct_vs_reference,best_current_repetition
1,50,1-8,20260815_064053,1001,183.94,562.143,561.46648,419.286,154,20260819_094955,1001,183.94,872.498,871.631475,670.239,154,20260819_094955,1002,183.94,876.706,875.75152,671.626,154,20260819_094955,1003,183.94,870.689,869.890553,668.168,154,20260819_094955,1004,183.94,869.882,869.000357,667.3,154,183.94,0,183.94,183.94,872.44375,871.56847625,669.33325,154,183.94,0,183.94,183.94,810.3836,809.548077,619.3238,154,0,0,1
2,50,1-8,20260815_064053,2001,14061.04,567.549,566.796407,421.78,156,20260819_094955,2001,14061.04,878.913,878.01745,674.345,156,20260819_094955,2002,14061.04,579.026,578.366124,429.821,156,20260819_094955,2003,14061.04,578.22,577.523541,429.377,156,20260819_094955,2004,14061.04,577.413,576.838533,428.923,156,14061.04,0,14061.04,14061.04,653.393,652.686412,490.6165,156,14061.04,0,14061.04,14061.04,636.2242,635.508411,476.8492,156,0,0,1
3,50,1-8,20260815_064053,3001,7534.03777778,541.921,541.085725,403.746,149,20260819_094955,3001,7534.03777778,550.382,549.665161,409.304,149,20260819_094955,3002,7534.03777778,552.39,551.681509,410.942,149,20260819_094955,3003,7534.03777778,843.247,842.376071,647.425,149,20260819_094955,3004,7534.03777778,848.055,847.239183,650.52,149,7534.03777778,0,7534.03777778,7534.03777778,698.5185,697.740481,529.54775,149,7534.03777778,0,7534.03777778,7534.03777778,667.199,666.4095298,504.3874,149,0,0,1
4,50,1-8,20260815_064053,4001,18078.6933333,555.332,554.514925,416.623,145,20260819_094955,4001,18078.6933333,825.213,824.433705,632.663,145,20260819_094955,4002,18078.6933333,825.217,824.31625,632.707,145,20260819_094955,4003,18078.6933333,825.823,824.846493,633.934,145,20260819_094955,4004,18078.6933333,532.882,532.210857,397.751,145,18078.6933333,0,18078.6933333,18078.6933333,752.28375,751.45182625,574.26375,145,18078.6933333,0,18078.6933333,18078.6933333,712.8934,712.064446,542.7356,145,0,0,1
5,50,1-8,20260815_064053,5001,29421.5644444,586.966,586.198943,442.628,145,20260819_094955,5001,29421.5644444,537.087,536.495134,400.858,145,20260819_094955,5002,29421.5644444,536.493,535.90005,399.738,145,20260819_094955,5003,29421.5644444,535.694,535.093637,399.151,145,20260819_094955,5004,29421.5644444,539.5,538.860111,402.228,145,29421.5644444,0,29421.5644444,29421.5644444,537.1935,536.587233,400.49375,145,29421.5644444,0,29421.5644444,29421.5644444,547.148,546.509575,408.9206,145,0,0,1
6,50,1-8,20260815_064053,6001,154.58,533.11,532.266188,396.214,146,20260819_094955,6001,154.58,828.28,827.335667,636.074,146,20260819_094955,6002,154.58,828.487,827.569829,636.396,146,20260819_094955,6003,154.58,828.289,827.490836,636.101,146,20260819_094955,6004,154.58,828.104,827.199388,636.643,146,154.58,0,154.58,154.58,828.29,827.39893,636.3035,146,154.58,0,154.58,154.58,769.254,768.3723816,588.2856,146,0,0,1
7,50,1-8,20260815_064053,7001,6018.96,571.351,570.536808,428.027,154,20260819_094955,7001,6018.96,885.743,884.792459,681.643,154,20260819_094955,7002,6018.96,878.941,878.09638,677.335,154,20260819_094955,7003,6018.96,878.342,877.484254,677.664,154,20260819_094955,7004,6018.96,879.563,878.818788,678.392,154,6018.96,0,6018.96,6018.96,880.64725,879.79797025,678.7585,154,6018.96,0,6018.96,6018.96,818.788,817.9457378,628.6122,154,0,0,1
8,50,1-8,20260815_064053,8001,120.78,556.532,555.697518,414.737,154,20260819_094955,8001,120.78,874.944,874.048753,670.777,154,20260819_094955,8002,120.78,870.526,869.618727,668.559,154,20260819_094955,8003,120.78,567.82,567.206433,423.277,154,20260819_094955,8004,120.78,574.847,574.249968,428.462,154,120.78,0,120.78,120.78,722.03425,721.28097025,547.76875,154,120.78,0,120.78,120.78,688.9338,688.1642798,521.1624,154,0,0,1
9,100,9-16,20260815_064053,9001,1893450.07778,772.302,771.514695,591.919,205,20260819_094955,9001,1893450.07778,806.659,805.972788,614.453,205,20260819_094955,9002,1893450.07778,807.071,806.528102,615.111,205,20260819_094955,9003,1893450.07778,811.876,811.300019,617.521,205,20260819_094955,9004,1893450.07778,808.48,807.827595,616.894,205,1893450.07778,0,1893450.07778,1893450.07778,808.5215,807.907126,615.99475,205,1893450.07778,0,1893450.07778,1893450.07778,801.2776,800.6286398,611.1796,205,0,0,1
10,100,9-16,20260815_064053,10001,5441250.43111,989.458,988.78535,764.297,261,20260819_094955,10001,5441250.43111,1639.63,1638.751671,1298.331,261,20260819_094955,10002,5441250.43111,1633.802,1632.933414,1293.865,261,20260819_094955,10003,5441250.43111,1642.835,1641.895929,1302.994,261,20260819_094955,10004,5441250.43111,1066.84,1066.128478,818.159,261,5441250.43111,0,5441250.43111,5441250.43111,1495.77675,1494.927373,1178.33725,261,5441250.43111,0,5441250.43111,5441250.43111,1394.513,1393.6989684,1095.5292,261,0,0,1
