batch_id,instance_id,repetition,seed,core,pid,started_at_utc,finished_at_utc,wall_time_seconds,simulation_runtime_seconds,algorithm_time_seconds,algorithm_dispatch_count,score,return_code,status,workspace,log_path,error
20260730_130436,41,1,41001,0,3132300,2026-07-30T13:04:36.849034+00:00,2026-07-30T14:00:18.193570+00:00,3341.345,3339.928934,2611.12,816,561890239.2566667,0,SUCCESS,jobs/instance_041/repetition_001_seed_41001,jobs/instance_041/repetition_001_seed_41001/worker.log,
20260730_130436,41,2,41002,1,3132301,2026-07-30T13:04:36.849772+00:00,2026-07-30T14:00:21.724049+00:00,3344.874,3343.523813,2606.235,822,562531481.174,0,SUCCESS,jobs/instance_041/repetition_002_seed_41002,jobs/instance_041/repetition_002_seed_41002/worker.log,
20260730_130436,41,3,41003,2,3132302,2026-07-30T13:04:36.850284+00:00,2026-07-30T13:58:57.255654+00:00,3260.405,3259.124018,2550.613,788,547673983.5675555,0,SUCCESS,jobs/instance_041/repetition_003_seed_41003,jobs/instance_041/repetition_003_seed_41003/worker.log,
20260730_130436,41,4,41004,3,3132303,2026-07-30T13:04:36.850877+00:00,2026-07-30T14:04:00.249610+00:00,3563.399,3562.020335,2761.934,903,608837904.048,0,SUCCESS,jobs/instance_041/repetition_004_seed_41004,jobs/instance_041/repetition_004_seed_41004/worker.log,
20260730_130436,41,5,41005,4,3132304,2026-07-30T13:04:36.851376+00:00,2026-07-30T14:03:23.412098+00:00,3526.561,3525.136263,2732.905,873,611206387.9455556,0,SUCCESS,jobs/instance_041/repetition_005_seed_41005,jobs/instance_041/repetition_005_seed_41005/worker.log,
20260730_130436,42,1,42001,5,3132305,2026-07-30T13:04:36.851928+00:00,2026-07-30T13:55:55.858132+00:00,3079.006,3077.720148,2431.264,704,478958036.7011111,0,SUCCESS,jobs/instance_042/repetition_001_seed_42001,jobs/instance_042/repetition_001_seed_42001/worker.log,
20260730_130436,42,2,42002,6,3132306,2026-07-30T13:04:36.852417+00:00,2026-07-30T13:57:49.468892+00:00,3192.616,3191.340732,2510.461,761,508383461.39977777,0,SUCCESS,jobs/instance_042/repetition_002_seed_42002,jobs/instance_042/repetition_002_seed_42002/worker.log,
20260730_130436,42,3,42003,7,3132307,2026-07-30T13:04:36.852946+00:00,2026-07-30T13:59:32.836829+00:00,3295.984,3294.627873,2585.316,786,537263629.7202222,0,SUCCESS,jobs/instance_042/repetition_003_seed_42003,jobs/instance_042/repetition_003_seed_42003/worker.log,
20260730_130436,42,4,42004,8,3132308,2026-07-30T13:04:36.853415+00:00,2026-07-30T13:54:40.719810+00:00,3003.866,3002.546305,2385.253,692,475201760.396,0,SUCCESS,jobs/instance_042/repetition_004_seed_42004,jobs/instance_042/repetition_004_seed_42004/worker.log,
20260730_130436,42,5,42005,9,3132309,2026-07-30T13:04:36.854105+00:00,2026-07-30T13:55:36.754860+00:00,3059.901,3058.598464,2424.053,706,501443121.8744444,0,SUCCESS,jobs/instance_042/repetition_005_seed_42005,jobs/instance_042/repetition_005_seed_42005/worker.log,
