instance_id,num_orders,batch_id,successful_reps,total_reps,score_min,score_mean,score_median,score_max,score_std,simulation_runtime_mean_s,wall_time_mean_s
1,50,20260727_110733,5,5,129.78,136.31199999999998,137.82,141.0,3.9918837658428896,437.6880298,438.59039999999993
2,50,20260727_110733,5,5,92.32,94.936,94.72,97.28000000000002,1.7486177398162301,426.93374320000004,427.86080000000004
3,50,20260727_110733,5,5,96.46,99.33599999999998,98.26,102.88,2.7074829639353206,407.52218619999996,408.535
4,50,20260727_110733,5,5,95.1,101.03999999999999,102.34,105.58,3.656096278819803,424.85526500000003,425.8256
5,50,20260727_110733,5,5,5445.4,5447.408,5445.78,5451.42,2.354420523186233,404.41291240000004,405.33779999999996
6,50,20260727_110733,5,5,115.4,119.44000000000001,119.94,122.36,2.293399223859641,421.83411079999996,422.78899999999993
7,50,20260727_110733,5,5,3787.76,4026.796,3986.58,4385.74,195.3325514705625,435.90482439999994,436.8102
8,50,20260727_110733,5,5,65.75999999999999,66.412,66.14000000000001,67.9,0.7592206530383652,463.31182920000003,464.1496
9,100,20260727_110733,5,5,183.42,6481.3133333333335,5782.58,12698.715555555556,4212.951932129019,559.3214716,560.167
10,100,20260727_110733,5,5,283187.7311111111,378895.0755555556,327016.64444444445,566190.8222222222,103999.53565973324,676.8133220000001,677.7846
11,100,20260727_110733,5,5,176.28,1031.3977777777777,184.2,3439.495555555556,1264.916423023501,567.4292356000001,568.3024
12,100,20260727_110733,5,5,55173.61111111111,118005.33733333333,102324.86,234244.45111111112,60821.20938231908,613.9412658000001,614.8802
13,100,20260727_110733,5,5,1047.4888888888888,9584.64088888889,4285.924444444445,22551.562222222223,8678.21900726386,537.3878158,538.3304
14,100,20260727_110733,5,5,154.88,10091.245777777778,8813.56,30249.7,11012.621484385803,560.000074,560.8754
15,100,20260727_110733,5,5,23951.995555555557,36278.47111111111,33040.04666666666,55824.03333333333,12363.101496088579,569.9149006,570.8546
16,100,20260727_110733,5,5,42001.63777777778,65653.63377777778,66188.47333333333,88923.73777777779,17651.15401168826,539.7246634,540.5968
17,300,20260727_110733,5,5,95.635,100.546,102.235,103.46,2.8562464879628284,875.478574,876.3092
18,300,20260727_110733,5,5,102.195,107.375,109.35499999999998,111.37,3.742911967973606,830.414567,831.2370000000001
19,300,20260727_110733,5,5,127.85000000000002,130.89100000000002,132.61000000000004,133.355,2.448306353379826,907.826378,908.7288000000001
20,300,20260727_110733,5,5,3322.287777777778,3424.537777777778,3357.716111111112,3557.2211111111114,108.81318377537404,814.0899694000001,814.9208000000001
